time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
240264,114564,-1.1604,0.05,2782,2,95.16,37525,0.0001,0.44700459241867063,,
240376,114590,-1.2985,0.05,2783,2,94.9,37540,0.0001,0.4929141104221344,,
240520,114618,-1.3174,0.05,2784,2,94.83,37565,0.0001,0.5145528584718704,,
240640,,,0.05,,,,37580,0.0001,0.49847702980041503,136.6,-1.3879999999999995
240696,114778,-1.4750999999999996,0.05,2785,2,94.41,37590,0.0001,0.49583550691604616,,
240776,114798,-1.5096999999999996,0.05,2786,2,94.47,37605,0.0001,0.46243449449539187,,
240784,114806,-1.3548999999999995,0.05,2787,2,94.5,,,,,
241008,114873,-1.178,0.05,2788,2,94.58,37640,0.0001,0.5281181752681732,,
241008,114873,-1.178,,2789,2,94.58,,,,,
241160,114908,-1.3313,0.05,2790,2,94.08,37665,0.0001,0.4670286595821381,,
241320,114946,-1.0713999999999997,0.05,2791,2,94.96,37690,0.0001,0.4920541912317276,,
241328,114958,-1.0515999999999996,0.05,2792,2,95.26,,,,,
241360,114972,-1.0565999999999995,0.05,2793,2,95.15,37695,0.0001,0.5685886710882186,,
241440,114992,-1.1172999999999997,0.05,2794,2,95.15,37705,0.0001,0.27797411382198334,,
241664,,,0.05,,,,37740,0.0001,0.3826732665300369,132.6,6.180000000000001
241712,115181,-1.3893999999999997,0.05,2795,2,95.53,37750,0.0001,0.5915182530879974,,
241784,115217,-1.4915,0.05,2796,2,95.13,37760,0.0001,0.577441143989563,,
241904,115263,-1.5553,0.05,2797,2,94.54,37780,0.0001,0.4655472606420517,,
242000,115288,-1.5251000000000001,0.05,2798,2,95.17,37795,0.0001,0.6082821249961853,,
242048,115303,-1.4518999999999997,0.05,2799,2,95.13,37800,0.0001,0.34872587621212003,,
242176,115338,-1.3561999999999999,0.05,2800,2,95.38,37820,0.0001,0.48015503883361815,,
242272,115360,-1.408,0.05,2801,2,94.65,37835,0.0001,0.4164855718612671,,
242328,115375,-1.3987,0.05,2802,2,94.74,37845,0.0001,0.5243329882621766,,
242360,115388,-1.4088,0.05,2803,2,94.33,37850,0.0001,0.6619406938552856,,
242496,115417,-1.1771000000000003,0.05,2804,2,94.28,37870,0.0001,0.4990680366754532,,
242688,,,0.05,,,,37900,0.0001,0.5753598064184189,149.8,-6.0440000000000005
242808,115637,-1.2591000000000003,0.05,2805,2,93.76,37920,0.0001,0.44000861048698425,,
242880,115655,-1.2063,0.05,2806,2,93.64,37930,0.0001,0.401774463057518,,
242936,115670,-1.3768,0.05,2807,2,93.81,37940,0.0001,0.5446583330631256,,
242944,115678,-1.3496999999999997,0.05,2808,2,93.59,,,,,
242952,115688,-1.4653,0.05,2809,2,93.9,37945,0.0001,0.6655474305152893,,
243064,115715,-1.4592999999999998,0.05,2810,2,94.13,37960,0.0001,0.4275142252445221,,
243272,115763,-1.7034999999999996,0.05,2811,2,94.23,37995,0.0001,0.4683816909790039,,
243360,115784,-1.8687999999999996,0.05,2812,2,95.06,38005,0.0001,0.47703199088573456,,
243464,115812,-1.7755,0.05,2813,2,95.22,38025,0.0001,0.4265681803226471,,
243504,115828,-1.6241999999999996,0.05,2814,2,95.03,38030,0.0001,0.583881813287735,,
243544,115845,-1.6224,0.05,2815,2,95.07,38035,0.0001,0.43117225766181944,,
243712,,,0.05,,,,38060,0.0001,0.54006267786026,105.4,9.284
243712,116041,-1.4068999999999994,0.05,2816,2,94.82,,,,,
243808,116067,-1.4839999999999998,0.05,2817,2,95.05,38075,0.0001,0.5087722212076187,,
243992,116117,-1.431,0.05,2818,2,94.78,38105,0.0001,0.6093223601579666,,
244016,116129,-1.6720000000000002,0.05,2819,2,95.31,38110,0.0001,0.4976361393928528,,
244032,116139,-1.6684,0.05,2820,2,95.13,,,,,
244160,116168,-1.8671,0.05,2821,2,95.19,38130,0.0001,0.4660571217536926,,
244288,116194,-1.9340000000000004,0.05,2822,2,95.19,38150,0.0001,0.4131906032562256,,
244304,116206,-1.9253000000000002,0.05,2823,2,94.8,38155,0.0001,0.6068429440259934,,
244488,116244,-2.0632,0.05,2824,2,94.57,38185,0.0001,0.6032899022102356,,
244728,116297,-2.0361000000000002,0.05,2825,2,94.59,38220,0.0001,0.4192939311265945,,
244736,,,,,,,,,,102.6,-9.168
244752,116418,-2.0316000000000005,0.05,2826,2,94.52,38225,0.0001,0.5477981328964233,,
244848,116445,-2.0468,0.05,2827,2,94.59,38240,0.0001,0.5740839242935181,,
244856,116514,-2.0193000000000003,0.05,2828,2,93.34,,,,,
244904,116534,-1.8621000000000003,0.05,2829,2,93.94,38250,0.0001,0.4937532067298889,,
244944,116550,-1.9890000000000005,0.05,2830,2,94.03,38255,0.0001,0.6171339571475982,,
245080,116580,-2.2615,0.05,2831,2,93.5,38275,0.0001,0.33509908616542816,,
245296,116615,-2.4644000000000004,0.05,2832,2,93.54,38310,0.0001,0.5299607157707215,,
245320,116626,-2.6990000000000003,0.05,2833,2,93.28,38315,0.0001,0.4920612633228302,,
245400,116645,-2.5722000000000005,0.05,2834,2,94.09,38325,0.0001,0.47995656728744507,,
245576,116675,-2.4616,0.05,2835,2,94.24,38355,0.0001,0.6541459858417511,,
245760,,,0.05,,,,38380,0.0001,0.47214236855506897,83.0,1.3400000000000003
245768,116848,-2.6447000000000003,0.05,2836,2,94.72,38385,0.0001,0.31579320430755614,,
245888,116873,-2.5620999999999996,0.05,2837,2,94.57,38400,0.0001,0.4246153116226196,,
245920,116888,-2.3375,0.05,2838,2,94.79,38405,0.0001,0.4535329580307007,,
245968,116904,-2.4881,0.05,2839,2,95.07,38415,0.0001,0.4585698306560516,,
245976,116913,-2.4646999999999997,0.05,2840,2,94.79,,,,,
246024,116929,-2.375,0.05,2841,2,94.41,38425,0.0001,0.550102961063385,,
246176,116969,-2.4798999999999998,0.05,2842,2,94.01,38445,0.0001,0.5575388431549072,,
246328,117001,-2.4126,0.05,2843,2,94.34,38470,0.0001,0.5030053734779358,,
246392,117023,-2.3966999999999996,0.05,2844,2,95.08,38480,0.0001,0.5217140793800354,,
246648,117087,-2.4928,0.05,2845,2,94.67,38520,0.0001,0.4601922035217285,,
246680,117099,-2.5196,0.05,2846,2,94.36,38525,0.0001,0.5516441941261292,,
246752,117127,-2.6028,0.05,2847,2,94.14,38535,0.0001,0.634136039018631,,
246776,117138,-2.4899,0.05,2848,2,94.99,38540,0.0001,0.5973427891731262,,
246784,,,,,,,,,,86.0,-7.7219999999999995
246784,117336,-2.7519999999999993,0.05,2849,2,95.19,,,,,
246800,117346,-3.0776999999999997,0.05,2850,2,94.6,38545,0.0001,0.3274083435535431,,
