time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
2,4.1978,160520,101.34,67065,1384,0.05,0.0001,25065,0.27450654208660125,,
2,3.8245000000000005,160544,101.38,67075,1385,0.05,,,,,
2,3.9144,160624,101.61,67158,1386,0.05,0.0001,25080,0.25287923514842986,,
2,3.4681,160648,99.87,67170,1387,0.05,0.0001,25085,0.20998841077089309,,
,,160768,,,,0.05,0.0001,25100,0.2749584764242172,386.6,1.9879999999999995
2,2.8930000000000002,161024,98.79,67525,1388,0.05,0.0001,25140,0.3501571178436279,,
2,2.8930000000000002,161024,98.79,67525,1389,,,,,,
2,2.4345000000000003,161152,99.37,67547,1390,0.05,0.0001,25160,0.2728452950716019,,
2,2.0382,161256,98.87,67568,1391,0.05,0.0001,25180,0.26834062933921815,,
2,2.0743,161312,100.33,67580,1392,0.05,0.0001,25185,0.2736172676086426,,
2,1.8681,161472,100.35,67606,1393,0.05,0.0001,25210,0.26659350097179413,,
2,1.7301,161624,100.63,67640,1394,0.05,0.0001,25235,0.22176437675952912,,
2,1.7301,161624,100.63,67640,1395,,,,,,
2,1.6875,161704,100.71,67654,1396,0.05,0.0001,25250,0.2713193744421005,,
2,1.7664,161784,101.27,67668,1397,0.05,0.0001,25260,0.24174761176109313,,
,,161792,,,,,,,,125.6,15.556000000000001
2,1.5941999999999998,161896,101.13,67868,1398,0.05,0.0001,25280,0.3753840148448944,,
2,1.0675999999999999,162320,100.72,67907,1399,0.05,0.0001,25345,0.19308291971683503,,
2,1.0779000000000003,162344,100.59,67916,1400,0.05,0.0001,25350,0.34091909527778624,,
2,1.1752999999999998,162416,100.45,67947,1401,0.05,0.0001,25360,0.4077616512775421,,
2,1.3430000000000002,162432,100.42,67955,1402,0.05,,,,,
2,1.0698999999999999,162440,100.0,67963,1403,0.05,0.0001,25365,0.2964774340391159,,
2,0.7567,162472,98.54,68034,1404,0.05,0.0001,25370,0.23439199924468995,,
2,0.7567,162472,98.54,68034,1405,,,,,,
2,0.8034,162488,98.96,68042,1406,0.05,,,,,
2,0.8101,162536,99.16,68052,1407,0.05,0.0001,25380,0.232126784324646,,
2,0.8237000000000003,162792,99.15,68085,1408,0.05,0.0001,25420,0.2613975405693054,,
,,162816,,,,0.05,,,,62.0,8.040000000000001
2,0.6776000000000003,163120,97.15,68329,1409,0.05,0.0001,25470,0.2631057441234589,,
2,0.6776000000000003,163120,97.15,68329,1410,,,,,,
2,0.6647000000000003,163192,97.52,68345,1411,0.05,0.0001,25480,0.22477245926856995,,
2,0.6736000000000001,163216,97.05,68354,1412,0.05,0.0001,25485,0.2727180063724518,,
2,0.6946000000000002,163320,97.45,68372,1413,0.05,0.0001,25500,0.30293396711349485,,
2,0.7572000000000003,163352,97.11,68460,1414,0.05,0.0001,25505,0.3130456268787384,,
2,0.5333000000000001,163360,97.43,68468,1415,0.05,,,,,
2,0.661,163752,97.66,68519,1416,0.05,0.0001,25570,0.24200124442577362,,
2,1.2318000000000005,163768,98.26,68527,1417,0.05,,,,,
2,1.3926000000000003,163800,98.24,68536,1418,0.05,0.0001,25575,0.34466620087623595,,
2,1.6188999999999996,163832,97.38,68546,1419,0.05,0.0001,25580,0.3131871372461319,,
,,163840,,,,,,,,90.2,14.320000000000002
2,1.365,163872,96.64,68766,1420,0.05,0.0001,25585,0.25983649790287017,,
